person,age,gender,height,weight,academic_year,major,gpa,coop_classes,coop_hrs_per_week,prior_coops,coop_workload,coop_attendance,avg_commute,major_adjacent_coop,class_credits,homework_hrs,part_time_job,part_time_hrs,sleep_monday,sleep_tuesday,sleep_wednesday,sleep_thursday,sleep_friday,sleep_saturday,sleep_sunday,wake_monday,wake_tuesday,wake_wednesday,wake_thursday,wake_friday,wake_saturday,wake_sunday,sleep_quality,caffeine_intake,screen_time,phone_before_bed,phone_time_before_bed,housing_location,direct_roommate,college_roommates
1,22,Female,64,140,4th,Business Administration Finance,3.79,Classes,,,,,,,20,10,No,,11:00 p.m.,11:00 p.m.,11:00 p.m.,11:00 p.m.,12:00 a.m.,1:00 a.m.,11:00 p.m.,8:00 a.m.,8:00 a.m.,8:00 a.m.,8:00 a.m.,8:00 a.m.,9:00 a.m.,9:00 a.m.,4,448,6,7,30,Off-campus,No,Yes
2,21,Female,62,105,3rd,Nursing ,3.8,Co-op,40,1,Moderate,In-person,30,Yes,,,,,10:00 p.m.,10:00 p.m.,10:00 p.m.,10:00 p.m.,10:00 p.m.,10:00 p.m.,10:00 p.m.,5:00 a.m.,5:00 a.m.,5:00 a.m.,7:00 a.m.,7:00 a.m.,8:00 a.m.,8:00 a.m.,5,251,2,7,10,Off-campus,No,Yes
3,21,Female,62,118,4th,Health Science,3.65,Classes,,,,,,,18,18,No,,1:00 a.m.,12:00 a.m.,12:00 a.m.,12:00 a.m.,2:00 a.m.,2:00 a.m.,1:00 a.m.,9:00 a.m.,10:00 a.m.,9:00 a.m.,9:00 a.m.,10:00 a.m.,11:00 a.m.,11:00 a.m.,3,211,4.5,7,20,Off-campus,No,Yes
4,21,Female,61,109,3rd,Political Science and Business Administration ,3.2,Co-op,0,1,Moderate,Remote,0,Somewhat,,,,,After 2:00 a.m.,After 2:00 a.m.,After 2:00 a.m.,After 2:00 a.m.,After 2:00 a.m.,After 2:00 a.m.,After 2:00 a.m.,10:00 a.m.,10:00 a.m.,10:00 a.m.,10:00 a.m.,10:00 a.m.,10:00 a.m.,10:00 a.m.,3,180,3.5,7,120,Off-campus,No,No
5,20,Female,63,129,2nd,Business admin finance ,3.96,Co-op,51,0,Moderate,Hybrid,20,Yes,,,,,12:00 a.m.,12:00 a.m.,12:00 a.m.,12:00 a.m.,12:00 a.m.,After 2:00 a.m.,After 2:00 a.m.,8:00 a.m.,8:00 a.m.,8:00 a.m.,8:00 a.m.,8:00 a.m.,11:00 a.m.,11:00 a.m.,3,0,7,7,40,Off-campus,Yes,Yes
6,20,Female,62,140,3rd,Finance/International Business,3.65,Co-op,40,1,Moderate,Hybrid,20,Yes,,,,,11:00 p.m.,11:00 p.m.,11:00 p.m.,11:00 p.m.,11:00 p.m.,2:00 a.m.,2:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,10:00 a.m.,10:00 a.m.,5,179,4.5,7,30,Off-campus,No,Yes
7,22,Female,64,125,4th,Communications ,3.03,Classes,,,,,,,16,13,No,,12:00 a.m.,12:00 a.m.,12:00 a.m.,12:00 a.m.,12:00 a.m.,1:00 a.m.,1:00 a.m.,8:00 a.m.,9:00 a.m.,8:00 a.m.,8:00 a.m.,9:00 a.m.,11:00 a.m.,11:00 a.m.,4,203,5,7,40,On-campus,No,Yes
8,19,Female,66,120,2nd,Marketing/Psychology,3.74,Classes,,,,,,,16,16,No,,11:00 p.m.,11:00 p.m.,11:00 p.m.,11:00 p.m.,11:00 p.m.,2:00 a.m.,2:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,8:00 a.m.,9:00 a.m.,10:00 a.m.,10:00 a.m.,4,300,8,7,40,Off-campus,No,Yes
9,20,Female,64,120,3rd,Computer Sciences/Environmental and Sustainability Sciences,3.46,Classes,,,,,,,18,20,No,,11:00 p.m.,11:00 p.m.,11:00 p.m.,11:00 p.m.,12:00 a.m.,12:00 a.m.,11:00 p.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,10:00 a.m.,10:00 a.m.,3,225,4,6,10,Off-campus,No,Yes
10,19,Female,55,120,2nd,International Business ,2.81,Co-op,40,0,Easy,Hybrid,18,Yes,,,,,1:00 a.m.,1:00 a.m.,1:00 a.m.,2:00 a.m.,2:00 a.m.,After 2:00 a.m.,1:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,8:00 a.m.,8:00 a.m.,8:00 a.m.,3,0,10,7,50,Off-campus,No,Yes
